YEAR,COUNTY,AGENCY NAME,Total Arrests WHITE,Total Arrests BLACK,Total Arrests INDIAN,Total Arrests ASIAN,Murder,,,,Manslaughter,,,,Rape^,,,,Robbery,,,,Aggravated Assault,,,,Aggravated Stalking,,,,Burglary,,,,Larceny/Theft - Pocket Picking,,,,Larceny/Theft - Purse Snatching,,,,Larceny/Theft - Shoplifting,,,,Larceny/Theft - From Building,,,,Larceny/Theft - From Coin Operated Device,,,,Larceny/Theft - From Motor Vehicle,,,,Larceny/Theft - Bicycles,,,,Larceny/Theft - Motor Vehicle Parts,,,,Larceny/Theft - All Other,,,,Motor Vehicle Theft,,,,Kidnap/Abduction,,,,Arson,,,,Simple Assault,,,,Simple Stalking,,,,Drugs/Narcotics,,,,Drugs/Narcotics Equipment,,,,Bribery,,,,Embezzlement,,,,Fraud - False Pretenses/Swindling,,,,Fraud - Credit Card/ATM,,,,Fraud - Impersonation,,,,Fraud - Welfare,,,,Fraud - Wire,,,,Counterfeit/Forgery,,,,Extortion/Blackmail,,,,Intimidation,,,,Prostitution,,,,Fondling,,,,Obscenity,,,,Other Part II Sex Offenses,,,,Buy/Receive/Poss. Stolen Property,,,,DUI,,,,Destruction/Damage/Vandalism,,,,Gambling,,,,Weapons Violations,,,,Liquor Law Violations,,,,Miscellaneous,,,
2019,Alachua,Alachua County Sheriff's Office,"1,603","2,081",2,20,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN,WHITE,BLACK,INDIAN,ASIAN
2019,Alachua,Alachua Police Department,101,133,1,1,1,6,0,0,0,0,0,0,17,12,0,0,15,33,0,0,71,126,1,0,0,0,0,0,32,33,0,0,0,0,0,0,0,0,0,0,25,24,0,0,13,8,0,0,0,0,0,0,5,37,0,0,0,1,0,0,0,0,0,0,23,17,0,0,16,20,0,1,3,2,0,0,0,0,0,0,153,218,0,6,0,0,0,0,172,221,0,2,11,6,0,0,0,0,0,0,7,4,0,0,29,25,0,0,7,4,0,0,6,8,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,0,5,4,0,0,0,0,0,0,2,3,0,0,4,1,0,0,3,5,0,0,1,3,0,0,75,21,0,4,18,17,0,0,0,0,0,0,16,22,0,0,8,0,0,0,862,"1,196",1,7
2019,Alachua,DABT - Alachua,102,3,3,0,0,1,0,0,0,0,0,0,2,1,0,0,1,5,0,0,4,11,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,3,0,0,2,2,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,9,25,0,0,0,0,0,0,23,18,0,0,6,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,34,0,1
2019,Alachua,DOC Inspector General - Alachua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,2,0,1,2,1,0
2019,Alachua,FHP - Gainesville,179,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Alachua,FWC - Alachua,34,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,88,73,0,0,13,11,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2019,Alachua,Gainesville Police Department,"1,419","2,079",2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,0,13
2019,Alachua,High Springs Police Department,103,72,0,1,0,4,0,0,0,0,0,0,11,21,0,1,18,53,0,0,86,220,1,3,6,2,0,0,70,183,0,2,0,0,0,0,0,0,0,0,299,220,0,8,0,1,0,0,0,0,0,0,13,39,0,0,0,2,0,0,0,0,0,0,142,184,0,1,23,66,0,0,2,1,0,0,1,0,0,0,158,274,0,3,6,4,0,0,2,0,0,0,130,239,0,1,0,0,0,0,0,0,0,0,22,33,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,7,0,0,5,5,0,0,64,28,0,1,20,28,0,0,0,1,0,1,15,60,0,0,24,2,0,1,288,382,1,4
2019,Alachua,Santa Fe College Police Department,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13,9,0,1,1,1,0,0,9,23,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,13,8,0,0
2019,Alachua,University of Florida Police Department,154,55,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2019,Baker,Baker County Sheriff's Office,968,262,1,5,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,2,3,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,12,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,7,0,3,1,0,0,0,14,3,0,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,19,20,0,1
2019,Baker,DABT - Baker,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,42,23,0,1,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,16,3,1,0,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,122,23,0,1,0,0,0,0,110,17,0,0,34,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,6,3,0,1,6,2,0,0,0,0,0,0,3,3,0,0,11,2,0,1,540,167,0,1
2019,Baker,DOC Inspector General - Baker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,Baker,FHP - Baker Co,109,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Baker,FWC - Baker,34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,43,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Bay,Bay County Sheriff's Office,"4,229",922,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,1,0,0
2019,Bay,DABT - Bay,29,1,0,0,6,4,0,0,0,0,0,0,11,1,0,0,14,13,0,0,161,35,0,2,4,1,0,0,385,43,0,0,0,0,0,0,0,0,0,0,157,50,0,0,29,7,0,0,0,0,0,0,86,73,0,0,0,0,0,0,0,0,0,0,340,34,0,2,63,23,0,0,11,2,0,0,14,0,0,0,392,81,0,3,1,0,0,0,729,149,0,1,71,10,0,0,0,0,0,0,0,0,0,0,38,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,2,1,0,0,4,5,0,0,1,2,0,0,5,0,0,0,30,6,0,0,0,0,0,0,13,3,0,0,66,12,0,0,58,15,0,0,0,0,0,0,26,15,0,1,0,0,0,0,"1,491",330,2,4
