Fact,Fact Note,Florida,PopNumber
"Population estimates, July 1, 2019,  (V2019)",,"21,477,737",
"Population estimates base, April 1, 2010,  (V2019)",,"18,804,564",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,14.20%,
"Population, Census, April 1, 2010",,"18,801,310",
"Persons under 5 years, percent",,5.30%,
"Persons under 18 years, percent",,19.70%,
"Persons 65 years and over, percent",,20.90%,
"Female persons, percent",,51.10%,
"White alone, percent",,77.30%,16602290.7
"Black or African American alone, percent",(a),16.90%,3629737.553
"American Indian and Alaska Native alone, percent",(a),0.50%,107388.685
"Asian alone, percent",(a),3.00%,644332.11
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,21477.737
"Two or More Races, percent",,2.20%,472510.214
"Hispanic or Latino, percent",(b),26.40%,
"White alone, not Hispanic or Latino, percent",,53.20%,
"Veterans, 2015-2019",,"1,440,338",
"Foreign born persons, percent, 2015-2019",,20.70%,
"Housing units,  July 1, 2019,  (V2019)",,"9,673,682",
"Owner-occupied housing unit rate, 2015-2019",,65.40%,
"Median value of owner-occupied housing units, 2015-2019",,"$215,300",
"Median selected monthly owner costs -with a mortgage, 2015-2019",,"$1,503",
"Median selected monthly owner costs -without a mortgage, 2015-2019",,$505,
"Median gross rent, 2015-2019",,"$1,175",
"Building permits, 2019",,"154,302",
"Households, 2015-2019",,"7,736,311",
"Persons per household, 2015-2019",,2.65,
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",,84.50%,
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",,29.40%,
"Households with a computer, percent, 2015-2019",,91.50%,
"Households with a broadband Internet subscription, percent, 2015-2019",,83.00%,
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",,88.20%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",,29.90%,
"With a disability, under age 65 years, percent, 2015-2019",,8.60%,
"Persons  without health insurance, under age 65 years, percent",,16.30%,
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",,58.50%,
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",,54.30%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"49,817,925",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"124,061,425",
"Total manufacturers shipments, 2012 ($1,000)",(c),"96,924,106",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"252,626,608",
"Total retail sales, 2012 ($1,000)",(c),"273,867,145",
"Total retail sales per capita, 2012",(c),"$14,177",
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",,27.8,
"Median household income (in 2019 dollars), 2015-2019",,"$55,660",
"Per capita income in past 12 months (in 2019 dollars), 2015-2019",,"$31,619",
"Persons in poverty, percent",,12.70%,
"Total employer establishments, 2018",,"566,894",
"Total employment, 2018",,"8,669,611",
"Total annual payroll, 2018 ($1,000)",,"404,483,243",
"Total employment, percent change, 2017-2018",,3.40%,
"Total nonemployer establishments, 2018",,"2,388,050",
"All firms, 2012",,"2,100,187",
"Men-owned firms, 2012",,"1,084,885",
"Women-owned firms, 2012",,"807,817",
"Minority-owned firms, 2012",,"926,112",
"Nonminority-owned firms, 2012",,"1,121,749",
"Veteran-owned firms, 2012",,"185,756",
"Nonveteran-owned firms, 2012",,"1,846,686",
"Population per square mile, 2010",,350.6,
"Land area in square miles, 2010",,"53,624.76",
FIPS Code,,"""12""",
,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,
,,,
Value Notes,,,
None,,,
,,,
Fact Notes,,,
(a),Includes persons reporting only one race,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,
,,,
Value Flags,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,
D,Suppressed to avoid disclosure of confidential information,,
F,Fewer than 25 firms,,
FN,Footnote on this item in place of data,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,
NA,Not available,,
S,Suppressed; does not meet publication standards,,
X,Not applicable,,
Z,Value greater than zero but less than half unit of measure shown,,
