ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share divided,share
0,White Alone,0,Not Hispanic or Latino,2018,2018,433,South Dakota,04000US46,south-dakota,718783,0.814729636,
0,White Alone,1,Hispanic or Latino,2018,2018,2286,South Dakota,04000US46,south-dakota,22087,0.02503528,
1,Black or African American Alone,0,Not Hispanic or Latino,2018,2018,2140,South Dakota,04000US46,south-dakota,18895,0.021417196,
1,Black or African American Alone,1,Hispanic or Latino,2018,2018,206,South Dakota,04000US46,south-dakota,162,0.000183625,
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2018,2018,2416,South Dakota,04000US46,south-dakota,74907,0.084905949,
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2018,2018,1235,South Dakota,04000US46,south-dakota,3161,0.003582946,
3,Asian Alone,0,Not Hispanic or Latino,2018,2018,2220,South Dakota,04000US46,south-dakota,14791,0.016765374,
3,Asian Alone,1,Hispanic or Latino,2018,2018,294,South Dakota,04000US46,south-dakota,232,0.000262968,
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2018,2018,77,South Dakota,04000US46,south-dakota,51,5.78077E-05,
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2018,2018,163,South Dakota,04000US46,south-dakota,0,0,
5,Some Other Race Alone,0,Not Hispanic or Latino,2018,2018,329,South Dakota,04000US46,south-dakota,271,0.000307174,
5,Some Other Race Alone,1,Hispanic or Latino,2018,2018,1643,South Dakota,04000US46,south-dakota,5511,0.006246635,
6,Two or More Races,0,Not Hispanic or Latino,2018,2018,3264.007506,South Dakota,04000US46,south-dakota,20554,0.023297647,
6,Two or More Races,1,Hispanic or Latino,2018,2018,1569.549298,South Dakota,04000US46,south-dakota,2830,0.003207762,
0,White Alone,0,Not Hispanic or Latino,2017,2017,1042,South Dakota,04000US46,south-dakota,715927,0.823220639,
0,White Alone,1,Hispanic or Latino,2017,2017,2371,South Dakota,04000US46,south-dakota,20654,0.023749347,
1,Black or African American Alone,0,Not Hispanic or Latino,2017,2017,1912,South Dakota,04000US46,south-dakota,16345,0.018794572,
1,Black or African American Alone,1,Hispanic or Latino,2017,2017,587,South Dakota,04000US46,south-dakota,642,0.000738214,
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2017,2017,2364,South Dakota,04000US46,south-dakota,74563,0.085737513,
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2017,2017,479,South Dakota,04000US46,south-dakota,1515,0.001742048,
3,Asian Alone,0,Not Hispanic or Latino,2017,2017,1909,South Dakota,04000US46,south-dakota,10612,0.012202386,
3,Asian Alone,1,Hispanic or Latino,2017,2017,224,South Dakota,04000US46,south-dakota,163,0.000187428,
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2017,2017,586,South Dakota,04000US46,south-dakota,779,0.000895746,
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2017,2017,190,South Dakota,04000US46,south-dakota,165,0.000189728,
5,Some Other Race Alone,0,Not Hispanic or Latino,2017,2017,908,South Dakota,04000US46,south-dakota,758,0.000871599,
5,Some Other Race Alone,1,Hispanic or Latino,2017,2017,1675,South Dakota,04000US46,south-dakota,4889,0.005621698,
6,Two or More Races,0,Not Hispanic or Latino,2017,2017,2431.46972,South Dakota,04000US46,south-dakota,19404,0.022312014,
6,Two or More Races,1,Hispanic or Latino,2017,2017,1598.150181,South Dakota,04000US46,south-dakota,3250,0.003737067,
0,White Alone,0,Not Hispanic or Latino,2016,2016,376,South Dakota,04000US46,south-dakota,713315,0.824209028,
0,White Alone,1,Hispanic or Latino,2016,2016,2707,South Dakota,04000US46,south-dakota,19624,0.022674804,
1,Black or African American Alone,0,Not Hispanic or Latino,2016,2016,1414,South Dakota,04000US46,south-dakota,14332,0.016560094,
1,Black or African American Alone,1,Hispanic or Latino,2016,2016,163,South Dakota,04000US46,south-dakota,192,0.000221849,
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2016,2016,2976,South Dakota,04000US46,south-dakota,73570,0.085007407,
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2016,2016,1553,South Dakota,04000US46,south-dakota,3808,0.004400003,
3,Asian Alone,0,Not Hispanic or Latino,2016,2016,1796,South Dakota,04000US46,south-dakota,12901,0.014906627,
3,Asian Alone,1,Hispanic or Latino,2016,2016,86,South Dakota,04000US46,south-dakota,52,6.00841E-05,
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2016,2016,234,South Dakota,04000US46,south-dakota,151,0.000174475,
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2016,2016,88,South Dakota,04000US46,south-dakota,67,7.7416E-05,
5,Some Other Race Alone,0,Not Hispanic or Latino,2016,2016,342,South Dakota,04000US46,south-dakota,280,0.00032353,
5,Some Other Race Alone,1,Hispanic or Latino,2016,2016,1937,South Dakota,04000US46,south-dakota,5614,0.006486769,
6,Two or More Races,0,Not Hispanic or Latino,2016,2016,2402.812519,South Dakota,04000US46,south-dakota,18678,0.021581736,
6,Two or More Races,1,Hispanic or Latino,2016,2016,1221.210056,South Dakota,04000US46,south-dakota,2870,0.003316179,
0,White Alone,0,Not Hispanic or Latino,2015,2015,1670,South Dakota,04000US46,south-dakota,710681,0.827847016,
0,White Alone,1,Hispanic or Latino,2015,2015,1980,South Dakota,04000US46,south-dakota,15256,0.017771172,
1,Black or African American Alone,0,Not Hispanic or Latino,2015,2015,1394,South Dakota,04000US46,south-dakota,12807,0.014918419,
1,Black or African American Alone,1,Hispanic or Latino,2015,2015,298,South Dakota,04000US46,south-dakota,365,0.000425176,
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2015,2015,2781,South Dakota,04000US46,south-dakota,68201,0.079444919,
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2015,2015,766,South Dakota,04000US46,south-dakota,2901,0.003379272,
3,Asian Alone,0,Not Hispanic or Latino,2015,2015,1377,South Dakota,04000US46,south-dakota,11901,0.013863052,
3,Asian Alone,1,Hispanic or Latino,2015,2015,26,South Dakota,04000US46,south-dakota,10,1.16486E-05,
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2015,2015,522,South Dakota,04000US46,south-dakota,712,0.000829383,
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2015,2015,47,South Dakota,04000US46,south-dakota,25,2.91216E-05,
5,Some Other Race Alone,0,Not Hispanic or Latino,2015,2015,1677,South Dakota,04000US46,south-dakota,1723,0.002007061,
5,Some Other Race Alone,1,Hispanic or Latino,2015,2015,1773,South Dakota,04000US46,south-dakota,8490,0.009889699,
6,Two or More Races,0,Not Hispanic or Latino,2015,2015,2658.575747,South Dakota,04000US46,south-dakota,22365,0.026052193,
6,Two or More Races,1,Hispanic or Latino,2015,2015,960.9895941,South Dakota,04000US46,south-dakota,3032,0.003531869,
0,White Alone,0,Not Hispanic or Latino,2014,2014,340,South Dakota,04000US46,south-dakota,709585,0.831699241,
0,White Alone,1,Hispanic or Latino,2014,2014,2275,South Dakota,04000US46,south-dakota,15183,0.01779588,
1,Black or African American Alone,0,Not Hispanic or Latino,2014,2014,1891,South Dakota,04000US46,south-dakota,14260,0.016714039,
1,Black or African American Alone,1,Hispanic or Latino,2014,2014,547,South Dakota,04000US46,south-dakota,570,0.000668093,
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2014,2014,2110,South Dakota,04000US46,south-dakota,67725,0.079379963,
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2014,2014,1699,South Dakota,04000US46,south-dakota,4086,0.00478917,
3,Asian Alone,0,Not Hispanic or Latino,2014,2014,1195,South Dakota,04000US46,south-dakota,11001,0.012894189,
3,Asian Alone,1,Hispanic or Latino,2014,2014,24,South Dakota,04000US46,south-dakota,16,1.87535E-05,
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2014,2014,414,South Dakota,04000US46,south-dakota,384,0.000450084,
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2014,2014,111,South Dakota,04000US46,south-dakota,58,6.79814E-05,
5,Some Other Race Alone,0,Not Hispanic or Latino,2014,2014,354,South Dakota,04000US46,south-dakota,495,0.000580186,
5,Some Other Race Alone,1,Hispanic or Latino,2014,2014,1866,South Dakota,04000US46,south-dakota,6279,0.007359569,
6,Two or More Races,0,Not Hispanic or Latino,2014,2014,2732.077964,South Dakota,04000US46,south-dakota,21006,0.024620975,
6,Two or More Races,1,Hispanic or Latino,2014,2014,1085.329443,South Dakota,04000US46,south-dakota,2527,0.002961878,
