"Group ""A"" Offense",Asian,Black or African American,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,White,Unknown,Total
09A - Murder & Nonnegligent Manslaughter,0,1,5,0,4,1,11
09B - Negligent Manslaughter,0,0,0,0,3,0,3
100 - Kidnapping/Abduction,0,7,15,0,27,7,56
11A - Rape,0,3,8,0,23,7,41
11B - Sodomy,0,0,0,0,2,0,2
11C - Sexual Assault With An Object,0,0,0,0,1,0,1
11D - Fondling,1,5,6,0,19,5,36
120 - Robbery,0,24,25,0,24,1,74
13A - Aggravated Assault,15,116,292,2,471,44,940
13B - Simple Assault,25,307,"1,484",4,"1,922",217,"3,959"
13C - Intimidation,2,44,194,0,304,28,572
200 - Arson,0,4,7,0,16,0,27
210 - Extortion/Blackmail,0,0,0,0,0,0,0
220 - Burglary/Breaking & Entering,0,24,103,0,171,8,306
23A - Pocket-picking,0,0,0,0,0,0,0
23B - Purse-snatching,0,0,1,0,2,0,3
23C - Shoplifting,9,134,648,10,788,51,"1,640"
23D - Theft From Building,0,9,25,0,43,4,81
23E - Theft From Coin-Operated Machine or Device,0,0,0,0,1,0,1
23F - Theft From Motor Vehicle,0,15,60,1,56,2,134
23G - Theft of Motor Vehicle Parts or Accessories,0,0,2,0,8,0,10
23H - All Other Larceny,3,30,148,0,286,39,506
240 - Motor Vehicle Theft,3,22,78,2,88,12,205
250 - Counterfeiting/Forgery,2,4,27,0,89,11,133
26A - False Pretenses/Swindle/Confidence Game,0,12,16,0,36,7,71
26B - Credit Card/Automated Teller Machine Fraud,0,1,3,0,5,1,10
26C - Impersonation,3,24,489,0,131,55,702
26D - Welfare Fraud,0,0,0,0,0,0,0
26E - Wire Fraud,0,0,0,0,0,0,0
26F - Identity Theft,0,1,4,0,11,1,17
26G - Hacking/Computer Invasion,0,0,0,0,0,0,0
270 - Embezzlement,0,3,2,0,25,1,31
280 - Stolen Property Offenses,0,11,57,0,72,18,158
290 - Destruction/Damage/Vandalism of Property,2,40,202,4,292,36,576
35A - Drug/Narcotic Violations,79,668,"1,967",13,"4,448","1,030","8,205"
35B - Drug Equipment Violations,12,84,298,0,789,659,"1,842"
36A - Incest,0,0,0,0,1,0,1
36B - Statutory Rape,0,3,1,0,11,0,15
370 - Pornography/Obscene Material,0,0,0,0,20,1,21
39A - Betting/Wagering,0,0,0,0,0,0,0
39B - Operating/Promoting/Assisting Gambling,0,0,0,0,1,0,1
39C - Gambling Equipment Violation,0,0,0,0,0,0,0
39D - Sports Tampering,0,0,0,0,0,0,0
40A - Prostitution,4,5,2,0,2,0,13
40B - Assisting or Promoting Prostitution,0,2,0,0,0,0,2
40C - Purchasing Prostitution,0,0,0,0,1,0,1
510 - Bribery,0,0,0,0,0,0,0
520 - Weapon Law Violations,3,18,58,0,158,23,260
"64A - Human Trafficking, Commercial Sex Acts",0,0,1,0,0,0,1
"64B - Human Trafficking, Involuntary Servitude",0,0,0,0,0,0,0
720 - Animal Cruelty,0,0,1,0,6,0,7
Total,163,"1,621","6,229",36,"10,357","2,269","20,675"
,,,,,,,
